q1,q2,q3,q4,q5,dq1,dq2,dq3,dq4,dq5
4.3171,1.301,-0.34907,0.2931,5.585,-0.0039539,0.003303,-0.0035956,0.00019569,-0.0034371
4.3171,1.301,-0.34909,0.29311,5.585,-0.0049834,0.005232,-0.006675,0.0041242,-0.0051065
4.3171,1.3011,-0.34912,0.29313,5.585,-0.0060155,0.0071496,-0.0097521,0.0080525,-0.0067774
4.3171,1.3011,-0.34917,0.29317,5.585,-0.0070502,0.0090554,-0.012827,0.011981,-0.0084498
4.317,1.3011,-0.34922,0.29323,5.5849,-0.0080875,0.010949,-0.015899,0.015909,-0.010124
4.317,1.3012,-0.34929,0.2933,5.5849,-0.0091274,0.012832,-0.018969,0.019836,-0.011799
4.317,1.3012,-0.34938,0.29339,5.5848,-0.01017,0.014702,-0.022036,0.023764,-0.013475
4.3169,1.3013,-0.34947,0.29349,5.5848,-0.011215,0.01656,-0.025101,0.027691,-0.015153
4.3169,1.3014,-0.34958,0.29361,5.5847,-0.012263,0.018407,-0.028163,0.031618,-0.016833
4.3168,1.3014,-0.34969,0.29374,5.5846,-0.013313,0.020241,-0.031222,0.035544,-0.018513
4.3168,1.3015,-0.34983,0.29389,5.5846,-0.014366,0.022063,-0.034279,0.03947,-0.020195
4.3167,1.3016,-0.34997,0.29406,5.5845,-0.015421,0.023872,-0.037333,0.043395,-0.021879
4.3166,1.3017,-0.35012,0.29424,5.5844,-0.016479,0.025669,-0.040385,0.04732,-0.023564
4.3166,1.3018,-0.35029,0.29444,5.5843,-0.017539,0.027454,-0.043434,0.051244,-0.02525
4.3165,1.3019,-0.35047,0.29465,5.5842,-0.018602,0.029226,-0.04648,0.055168,-0.026937
4.3164,1.3021,-0.35066,0.29488,5.5841,-0.019668,0.030986,-0.049523,0.05909,-0.028626
4.3164,1.3022,-0.35087,0.29512,5.584,-0.020736,0.032733,-0.052564,0.063013,-0.030316
4.3163,1.3023,-0.35108,0.29538,5.5838,-0.021807,0.034467,-0.055602,0.066934,-0.032008
4.3162,1.3025,-0.35131,0.29566,5.5837,-0.02288,0.036189,-0.058637,0.070854,-0.033701
4.3161,1.3026,-0.35155,0.29595,5.5836,-0.023955,0.037897,-0.061669,0.074774,-0.035395
4.316,1.3028,-0.35181,0.29626,5.5834,-0.025033,0.039593,-0.064698,0.078693,-0.03709
4.3159,1.3029,-0.35207,0.29658,5.5833,-0.026114,0.041275,-0.067724,0.082611,-0.038787
4.3158,1.3031,-0.35235,0.29692,5.5831,-0.027197,0.042945,-0.070747,0.086528,-0.040485
4.3157,1.3033,-0.35264,0.29727,5.5829,-0.028282,0.044601,-0.073767,0.090443,-0.042185
4.3155,1.3035,-0.35294,0.29764,5.5828,-0.02937,0.046244,-0.076784,0.094358,-0.043885
4.3154,1.3036,-0.35325,0.29803,5.5826,-0.03046,0.047874,-0.079798,0.098272,-0.045587
4.3153,1.3038,-0.35358,0.29843,5.5824,-0.031553,0.04949,-0.082808,0.10218,-0.04729
4.3152,1.304,-0.35391,0.29884,5.5822,-0.032649,0.051093,-0.085816,0.1061,-0.048995
4.315,1.3042,-0.35426,0.29928,5.582,-0.033746,0.052683,-0.088821,0.11001,-0.0507
4.3149,1.3045,-0.35462,0.29972,5.5818,-0.034846,0.054259,-0.091822,0.11391,-0.052407
